You regularly make new friends,0,1
You spend a lot of your free time exploring various random topics that you are interested in.,1,1
Seeing other people cry can easily make you feel like you want to cry too.,2,-1
You often make a backup plan for a backup plan.,3,1
"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know.",0,-1
You prefer to completely finish one project before starting another,3,1
You definitely do not like to create art.,1,-1
You feel comfortable just walking up to someone you find interesting and starting a conversation,0,1
You are more inclined to follow your brain than your heart.,2,1
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine,3,-1
You enjoy participating in group activities.,0,1
You like books and movies that make you analyze the meaning.,1,1
You like to use organizing tools like schedules and lists,3,1
Your happiness comes more from helping others succeed than your own successes.,2,-1
You are interested in so many things that you find it difficult to choose what to try next.,1,1
You think the world would be a better place if people relied more on rationality and less on their feelings,2,1
You prefer to do your chores before allowing yourself to relax,3,1
You enjoy watching people argue,0,-1
You tend to avoid drawing attention to yourself,2,1
You often end up doing things at the last possible moment.,3,-1
"You have always been fascinated by the question of what, if anything, happens after death.",1,1
You usually prefer to be around others rather than on your own.,0,1
You often become bored or lose interest when the discussion gets highly theoretical.,1,-1
You find it easy to empathize (understand and share someone else's feelings) with a person whose experiences are very different from yours.,2,-1
You usually postpone finalizing decisions for as long as possible.,3,-1
"After a long and tiring week, a lively social event helps energize you.",0,1
You often have a hard time understanding other people’s feelings.,2,1
You often spend a lot of time trying to understand views that are very different from your own.,1,1
"In your social circle, you are often the one who contacts your friends and initiates activities.",0,1
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",3,1
You rarely think about the reasons for human existence or the meaning of life.,1,-1
"You take great care not to make people look bad, even when it is completely their fault.",2,-1
Your personal work style is closer to random bursts of energy than organized and consistent efforts.,3,1
You are very interested in controversial topics.,1,1
You would pass along a good opportunity if you thought someone else needed it more.,2,-1
You would love a job that requires you to work alone most of the time.,0,-1
You complete things methodically (following a step-by-step process) without skipping over any steps.,3,1
You believe that thinking about philosophical questions is a waste of time.,1,-1
"You feel more drawn to places with busy, active atmospheres than quiet, relaxed places.",0,1
You know at first glance how someone is feeling.,2,-1
